We are writingRTC is not running
Initialized
Temp: 26.49, Pressure:101003.55, Altitude(BMP,m):127.18,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469378,Longitude:-736939690,Altitude(GPS,m):15,Time:15:56:46

Temp: 26.49, Pressure:101002.71, Altitude(BMP,m):127.24,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469385,Longitude:-736939683,Altitude(GPS,m):14,Time:15:56:48

Temp: 26.48, Pressure:101001.62, Altitude(BMP,m):127.33,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469380,Longitude:-736939673,Altitude(GPS,m):14,Time:15:56:50

Temp: 26.48, Pressure:101001.45, Altitude(BMP,m):127.35,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469368,Longitude:-736939663,Altitude(GPS,m):14,Time:15:56:52

Temp: 26.48, Pressure:101001.06, Altitude(BMP,m):127.38,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469358,Longitude:-736939657,Altitude(GPS,m):14,Time:15:56:54

Temp: 26.48, Pressure:101001.06, Altitude(BMP,m):127.38,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469350,Longitude:-736939657,Altitude(GPS,m):14,Time:15:56:56

Temp: 26.48, Pressure:101000.67, Altitude(BMP,m):127.41,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469342,Longitude:-736939655,Altitude(GPS,m):13,Time:15:56:58

Temp: 26.48, Pressure:101001.00, Altitude(BMP,m):127.39,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469322,Longitude:-736939647,Altitude(GPS,m):13,Time:15:57:0

Temp: 26.48, Pressure:101001.16, Altitude(BMP,m):127.37,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469306,Longitude:-736939639,Altitude(GPS,m):13,Time:15:57:2

Temp: 26.48, Pressure:101002.00, Altitude(BMP,m):127.30,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469296,Longitude:-736939631,Altitude(GPS,m):13,Time:15:57:4

Temp: 26.47, Pressure:101002.73, Altitude(BMP,m):127.24,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469281,Longitude:-736939619,Altitude(GPS,m):13,Time:15:57:6

Temp: 26.47, Pressure:101003.89, Altitude(BMP,m):127.15,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469265,Longitude:-736939608,Altitude(GPS,m):13,Time:15:57:8

Temp: 26.47, Pressure:101004.46, Altitude(BMP,m):127.10,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469254,Longitude:-736939597,Altitude(GPS,m):13,Time:15:57:10

Temp: 26.47, Pressure:101005.62, Altitude(BMP,m):127.00,Pitch:-3.56,Roll:0.19,Yaw:0.00,Latitude:454469247,Longitude:-736939587,Altitude(GPS,m):13,Time:15:57:12

